Source,Destination,Air Distance (km),Rail Distance (km),Road Distance (km)
Patna ,Pimpri Chinchwad ,1399.72,1456.72,1751.15
Patna ,Bhopal ,825.0,859.01,1032.76
Patna ,Visakhapatnam,893.31,930.05,1118.14
Patna ,Ludhiana ,1084.95,1129.36,1357.7
Patna ,Vadodara ,1267.86,1319.58,1586.33
Patna ,Agra ,730.6,760.83,914.76
Patna ,Nashik ,1317.51,1371.22,1648.39
Patna ,Faridabad ,834.7,869.1,1044.88
Patna ,Meerut ,823.5,857.45,1030.89
Patna ,Rajkot ,1501.95,1563.03,1878.94
Patna ,Vasai Virar City ,1438.33,1496.87,1799.42
Patna ,Varanasi ,214.92,224.53,270.16
Patna ,Srinagar ,1366.64,1422.32,1709.81
Patna ,Dhanbad ,240.58,251.21,302.23
Visakhapatnam,Mumbai ,1111.33,1156.79,1390.67
Visakhapatnam,Delhi ,1360.28,1415.7,1701.86
Visakhapatnam,Bengaluru,807.22,840.52,1010.53
Visakhapatnam,Hyderabad ,514.08,535.66,644.12
Visakhapatnam,Ahmadabad ,1263.04,1314.57,1580.31
Visakhapatnam,Surat ,7852.87,8167.97,9817.57
Visakhapatnam,Kolkata ,753.74,784.9,943.69
Visakhapatnam,Chennai ,607.74,633.06,761.18
Visakhapatnam,Jaipur ,1276.09,1328.15,1596.62
Visakhapatnam,Pune ,1003.55,1044.7,1255.95
Visakhapatnam,Kanpur ,1015.11,1056.72,1270.39
Visakhapatnam,Lucknow ,1038.31,1080.86,1299.4
Visakhapatnam,Nagpur ,583.2,607.54,730.51
Visakhapatnam,Indore ,953.3,992.44,1193.13
Visakhapatnam,Thane ,1103.15,1148.28,1380.44
Visakhapatnam,Pimpri Chinchwad ,1009.98,1051.39,1263.98
Visakhapatnam,Bhopal ,868.23,903.97,1086.8
Visakhapatnam,Patna ,893.31,930.05,1118.14
Visakhapatnam,Ludhiana ,1642.65,1709.36,2054.82
Visakhapatnam,Vadodara ,1172.08,1219.98,1466.61
Visakhapatnam,Agra ,1179.5,1227.69,1475.89
Visakhapatnam,Nashik ,1033.53,1075.88,1293.42
Visakhapatnam,Faridabad ,1331.96,1386.24,1666.45
Visakhapatnam,Meerut ,1371.29,1427.16,1715.63
Visakhapatnam,Rajkot ,1402.0,1459.09,1754.01
Visakhapatnam,Vasai Virar City ,1122.06,1167.95,1404.08
Visakhapatnam,Varanasi ,843.45,878.19,1055.82
Visakhapatnam,Srinagar ,1998.87,2079.83,2500.09
Visakhapatnam,Dhanbad ,747.01,777.91,935.28
Ludhiana ,Mumbai ,1339.21,1393.79,1675.52
Ludhiana ,Delhi ,282.39,294.7,354.5
Ludhiana ,Bengaluru,1990.4,2071.03,2489.51
Ludhiana ,Hyderabad ,1521.18,1583.03,1902.98
Ludhiana ,Ahmadabad ,926.62,964.7,1159.79
Ludhiana ,Surat ,6327.03,6581.11,7910.28
Ludhiana ,Kolkata ,1550.45,1613.48,1939.57
Ludhiana ,Chennai ,2022.88,2104.81,2530.11
Ludhiana ,Jaipur ,438.73,457.29,549.93
Ludhiana ,Pune ,1382.22,1438.52,1729.28
Ludhiana ,Kanpur ,659.42,686.8,825.78
Ludhiana ,Lucknow ,671.84,699.72,841.31
Ludhiana ,Nagpur ,1126.27,1172.33,1409.35
Ludhiana ,Indore ,903.45,940.6,1130.82
Ludhiana ,Thane ,1324.66,1378.66,1657.34
Ludhiana ,Pimpri Chinchwad ,1371.32,1427.18,1715.66
Ludhiana ,Bhopal ,858.72,894.08,1074.91
Ludhiana ,Patna ,1084.95,1129.36,1357.7
Ludhiana ,Visakhapatnam,1642.65,1709.36,2054.82
Ludhiana ,Vadodara ,984.83,1025.23,1232.54
Ludhiana ,Agra ,463.23,482.78,580.55
Ludhiana ,Nashik ,1220.07,1269.88,1526.59
Ludhiana ,Faridabad ,310.72,324.16,389.91
Ludhiana ,Meerut ,279.42,291.61,350.79
Ludhiana ,Rajkot ,1071.32,1115.19,1340.66
Ludhiana ,Vasai Virar City ,1303.5,1356.65,1630.88
Ludhiana ,Varanasi ,937.13,975.63,1172.92
Ludhiana ,Srinagar ,366.58,382.26,459.74
Ludhiana ,Dhanbad ,1311.46,1364.93,1640.83
Vadodara ,Mumbai ,357.88,373.21,448.86
Vadodara ,Delhi ,807.14,840.43,1010.43
Vadodara ,Bengaluru,1131.87,1178.15,1416.35
Vadodara ,Hyderabad ,777.38,809.48,973.23
Vadodara ,Ahmadabad ,102.09,107.19,129.13
Vadodara ,Surat ,6730.27,7000.48,8414.33
Vadodara ,Kolkata ,1561.25,1624.71,1953.08
Vadodara ,Chennai ,1265.61,1317.24,1583.52
Vadodara ,Jaipur ,576.42,600.49,722.04
Vadodara ,Pune ,423.67,441.63,531.09
Vadodara ,Kanpur ,857.36,892.67,1073.21
Vadodara ,Lucknow ,931.18,969.44,1165.49
Vadodara ,Nagpur ,622.22,648.12,779.28
Vadodara ,Indore ,279.08,291.25,350.36
Vadodara ,Thane ,344.34,359.12,431.93
Vadodara ,Pimpri Chinchwad ,411.14,428.6,515.44
Vadodara ,Bhopal ,444.99,463.8,557.74
Vadodara ,Patna ,1267.86,1319.58,1586.33
Vadodara ,Visakhapatnam,1172.08,1219.98,1466.61
Vadodara ,Ludhiana ,984.83,1025.23,1232.54
Vadodara ,Agra ,727.34,757.44,910.68
Vadodara ,Nashik ,260.57,272.01,327.22
Vadodara ,Faridabad ,793.04,825.78,992.81
Vadodara ,Meerut ,868.09,903.82,1086.62
Vadodara ,Rajkot ,246.42,257.29,309.53
Vadodara ,Vasai Virar City ,320.82,334.67,402.54
Vadodara ,Varanasi ,1054.68,1097.88,1319.86
Vadodara ,Srinagar ,1314.9,1368.5,1645.13
Vadodara ,Dhanbad ,1366.18,1421.84,1709.24
Agra ,Mumbai ,1039.03,1081.6,1300.29
Agra ,Delhi ,180.84,189.09,227.57
Agra ,Bengaluru,1572.51,1636.42,1967.15
Agra ,Hyderabad ,1087.88,1132.41,1361.36
Agra ,Ahmadabad ,715.16,744.78,895.47
Agra ,Surat ,6751.26,7022.3,8440.56
Agra ,Kolkata ,1163.27,1210.81,1455.6
Agra ,Chennai ,1577.76,1641.87,1973.7
Agra ,Jaipur ,219.26,229.04,275.59
Agra ,Pune ,1048.71,1091.67,1312.4
Agra ,Kanpur ,243.08,253.82,305.36
Agra ,Lucknow ,292.67,305.39,367.35
Agra ,Nagpur ,676.21,704.27,846.77
Agra ,Indore ,538.76,561.32,674.96
Agra ,Thane ,1023.11,1065.05,1280.4
Agra ,Pimpri Chinchwad ,1040.15,1082.76,1301.69
Agra ,Bhopal ,438.19,456.73,549.24
Agra ,Patna ,730.6,760.83,914.76
Agra ,Visakhapatnam,1179.5,1227.69,1475.89
Agra ,Ludhiana ,463.23,482.78,580.55
Agra ,Vadodara ,727.34,757.44,910.68
Agra ,Nashik ,902.58,939.69,1129.73
Agra ,Faridabad ,152.53,159.64,192.17
Agra ,Meerut ,202.48,211.59,254.61
Agra ,Rajkot ,906.58,943.85,1134.73
Agra ,Vasai Virar City ,1009.29,1050.68,1263.13
Agra ,Varanasi ,539.22,561.8,675.53
Agra ,Srinagar ,823.62,857.57,1031.03
Agra ,Dhanbad ,925.52,963.55,1158.41
Nashik ,Mumbai ,140.79,147.43,177.5
Nashik ,Delhi ,1014.02,1055.59,1269.03
Nashik ,Bengaluru,877.69,913.81,1098.62
Nashik ,Hyderabad ,574.57,598.57,719.72
Nashik ,Ahmadabad ,356.13,371.39,446.67
Nashik ,Surat ,6944.92,7223.71,8682.64
Nashik ,Kolkata ,1537.91,1600.44,1923.9
Nashik ,Chennai ,1032.16,1074.46,1291.71
Nashik ,Jaipur ,792.19,824.89,991.75
Nashik ,Pune ,165.05,172.67,207.83
Nashik ,Kanpur ,977.87,1018.0,1223.85
Nashik ,Lucknow ,1050.56,1093.59,1314.71
Nashik ,Nagpur ,565.9,589.54,708.88
Nashik ,Indore ,369.34,385.12,463.18
Nashik ,Thane ,124.82,130.82,157.53
Nashik ,Pimpri Chinchwad ,153.13,160.27,192.93
Nashik ,Bhopal ,518.67,540.43,649.85
Nashik ,Patna ,1317.51,1371.22,1648.39
Nashik ,Visakhapatnam,1033.53,1075.88,1293.42
Nashik ,Ludhiana ,1220.07,1269.88,1526.59
Nashik ,Vadodara ,260.57,272.01,327.22
Nashik ,Agra ,902.58,939.69,1129.73
Nashik ,Faridabad ,995.74,1036.58,1246.19
Nashik ,Meerut ,1069.89,1113.7,1338.87
Nashik ,Rajkot ,400.95,418.0,502.7
Nashik ,Vasai Virar City ,120.91,126.76,152.65
Nashik ,Varanasi ,1115.2,1160.82,1395.51
Nashik ,Srinagar ,1561.66,1625.14,1953.58
Nashik ,Dhanbad ,1371.06,1426.92,1715.34
Faridabad ,Mumbai ,1126.98,1173.06,1410.23
Faridabad ,Delhi ,28.33,30.47,36.92
Faridabad ,Bengaluru,1708.22,1777.56,2136.78
Faridabad ,Hyderabad ,1228.69,1278.85,1537.37
Faridabad ,Ahmadabad ,761.94,793.43,953.94
Faridabad ,Surat ,6611.79,6877.26,8266.23
Faridabad ,Kolkata ,1284.48,1336.86,1607.1
Faridabad ,Chennai ,1723.69,1793.65,2156.12
Faridabad ,Jaipur ,220.99,230.84,277.75
Faridabad ,Pune ,1149.77,1196.77,1438.72
Faridabad ,Kanpur ,367.34,383.05,460.69
Faridabad ,Lucknow ,397.5,414.42,498.39
Faridabad ,Nagpur ,823.14,857.08,1030.44
Faridabad ,Indore ,646.0,672.85,809.01
Faridabad ,Thane ,1111.42,1156.88,1390.78
Faridabad ,Pimpri Chinchwad ,1140.21,1186.83,1426.77
Faridabad ,Bhopal ,570.03,593.84,714.05
Faridabad ,Patna ,834.7,869.1,1044.88
Faridabad ,Visakhapatnam,1331.96,1386.24,1666.45
Faridabad ,Ludhiana ,310.72,324.16,389.91
Faridabad ,Vadodara ,793.04,825.78,992.81
Faridabad ,Agra ,152.53,159.64,192.17
Faridabad ,Nashik ,995.74,1036.58,1246.19
Faridabad ,Meerut ,75.06,79.08,95.34
Faridabad ,Rajkot ,940.56,979.19,1177.21
Faridabad ,Vasai Virar City ,1094.58,1139.37,1369.73
Faridabad ,Varanasi ,660.16,687.58,826.72
Faridabad ,Srinagar ,672.02,699.91,841.53
Faridabad ,Dhanbad ,1044.93,1087.74,1307.67
Meerut ,Mumbai ,1201.58,1250.66,1503.49
Meerut ,Delhi ,65.52,69.15,83.41
Meerut ,Bengaluru,1772.25,1844.14,2216.81
Meerut ,Hyderabad ,1289.51,1342.1,1613.39
Meerut ,Ahmadabad ,836.25,870.72,1046.83
Meerut ,Surat ,6601.78,6866.85,8253.72
Meerut ,Kolkata ,1282.2,1334.5,1604.26
Meerut ,Chennai ,1780.22,1852.44,2226.79
Meerut ,Jaipur ,295.01,307.83,370.28
Meerut ,Pune ,1223.16,1273.1,1530.46
Meerut ,Kanpur ,380.13,396.35,476.67
Meerut ,Lucknow ,396.66,413.54,497.34
Meerut ,Nagpur ,878.66,914.82,1099.83
Meerut ,Indore ,717.83,747.56,898.8
Meerut ,Thane ,1186.0,1234.45,1484.0
Meerut ,Pimpri Chinchwad ,1213.72,1263.28,1518.66
Meerut ,Bhopal ,634.92,661.33,795.16
Meerut ,Patna ,823.5,857.45,1030.89
Meerut ,Visakhapatnam,1371.29,1427.16,1715.63
Meerut ,Ludhiana ,279.42,291.61,350.79
Meerut ,Vadodara ,868.09,903.82,1086.62
Meerut ,Agra ,202.48,211.59,254.61
Meerut ,Nashik ,1069.89,1113.7,1338.87
Meerut ,Faridabad ,75.06,79.08,95.34
Meerut ,Rajkot ,1013.41,1054.96,1268.27
Meerut ,Vasai Virar City ,1169.33,1217.11,1463.17
Meerut ,Varanasi ,662.57,690.08,829.72
Meerut ,Srinagar ,627.6,653.72,786.01
Meerut ,Dhanbad ,1042.47,1085.18,1304.6
Rajkot ,Mumbai ,417.56,435.27,523.46
Rajkot ,Delhi ,948.66,987.62,1187.33
Rajkot ,Bengaluru,1258.25,1309.59,1574.32
Rajkot ,Hyderabad ,971.99,1011.88,1216.5
Rajkot ,Ahmadabad ,199.1,208.08,250.39
Rajkot ,Surat ,6544.32,6807.08,8181.89
Rajkot ,Kolkata ,1806.96,1880.25,2260.21
Rajkot ,Chennai ,1430.87,1489.11,1790.09
Rajkot ,Jaipur ,720.1,749.91,901.63
Rajkot ,Pune ,526.19,548.25,659.25
Rajkot ,Kanpur ,1069.29,1113.07,1338.12
Rajkot ,Lucknow ,1141.95,1188.64,1428.95
Rajkot ,Nagpur ,865.93,901.58,1083.93
Rajkot ,Indore ,523.15,545.09,655.45
Rajkot ,Thane ,411.78,429.26,516.23
Rajkot ,Pimpri Chinchwad ,513.37,534.92,643.23
Rajkot ,Bhopal ,685.75,714.19,858.7
Rajkot ,Patna ,1501.95,1563.03,1878.94
Rajkot ,Visakhapatnam,1402.0,1459.09,1754.01
Rajkot ,Ludhiana ,1071.32,1115.19,1340.66
Rajkot ,Vadodara ,246.42,257.29,309.53
Rajkot ,Agra ,906.58,943.85,1134.73
Rajkot ,Nashik ,400.95,418.0,502.7
Rajkot ,Faridabad ,940.56,979.19,1177.21
Rajkot ,Meerut ,1013.41,1054.96,1268.27
Rajkot ,Vasai Virar City ,382.12,398.41,479.16
Rajkot ,Varanasi ,1287.48,1339.99,1610.85
Rajkot ,Srinagar ,1362.31,1417.81,1704.4
Rajkot ,Dhanbad ,1609.29,1674.67,2013.12
Vasai Virar City ,Mumbai ,38.41,40.96,49.52
Vasai Virar City ,Delhi ,1111.36,1156.82,1390.7
Vasai Virar City ,Bengaluru,876.58,912.65,1097.23
Vasai Virar City ,Hyderabad ,639.47,666.06,800.85
Vasai Virar City ,Ahmadabad ,399.43,416.42,500.8
Vasai Virar City ,Surat ,6913.63,7191.17,8643.52
Vasai Virar City ,Kolkata ,1652.49,1719.6,2067.12
Vasai Virar City ,Chennai ,1060.79,1104.23,1327.5
Vasai Virar City ,Jaipur ,884.86,921.27,1107.59
Vasai Virar City ,Pune ,147.61,154.53,186.03
Vasai Virar City ,Kanpur ,1094.81,1139.62,1370.02
Vasai Virar City ,Lucknow ,1167.85,1215.58,1461.33
Vasai Virar City ,Nagpur ,681.5,709.77,853.38
Vasai Virar City ,Indore ,483.49,503.84,605.87
Vasai Virar City ,Thane ,29.66,31.86,38.59
Vasai Virar City ,Pimpri Chinchwad ,135.57,142.0,170.97
Vasai Virar City ,Bhopal ,637.44,663.95,798.31
Vasai Virar City ,Patna ,1438.33,1496.87,1799.42
Vasai Virar City ,Visakhapatnam,1122.06,1167.95,1404.08
Vasai Virar City ,Ludhiana ,1303.5,1356.65,1630.88
Vasai Virar City ,Vadodara ,320.82,334.67,402.54
Vasai Virar City ,Agra ,1009.29,1050.68,1263.13
Vasai Virar City ,Nashik ,120.91,126.76,152.65
Vasai Virar City ,Faridabad ,1094.58,1139.37,1369.73
Vasai Virar City ,Meerut ,1169.33,1217.11,1463.17
Vasai Virar City ,Rajkot ,382.12,398.41,479.16
Vasai Virar City ,Varanasi ,1236.09,1286.55,1546.62
Vasai Virar City ,Srinagar ,1635.71,1702.15,2046.15
Vasai Virar City ,Dhanbad ,1489.35,1549.94,1863.2
Varanasi ,Mumbai ,1252.58,1303.69,1567.23
Varanasi ,Delhi ,684.43,712.82,857.05
Varanasi ,Bengaluru,1481.46,1541.72,1853.33
Varanasi ,Hyderabad ,1000.17,1041.18,1251.72
Varanasi ,Ahmadabad ,1089.8,1134.4,1363.75
Varanasi ,Surat ,7263.81,7555.35,9081.25
Varanasi ,Kolkata ,625.12,651.13,782.9
Varanasi ,Chennai ,1386.32,1442.79,1734.41
Varanasi ,Jaipur ,739.82,770.42,926.28
Varanasi ,Pune ,1209.03,1258.4,1512.8
Varanasi ,Kanpur ,296.59,309.47,372.25
Varanasi ,Lucknow ,265.92,277.57,333.91
Varanasi ,Nagpur ,613.33,638.87,768.17
Varanasi ,Indore ,781.76,814.04,978.71
Varanasi ,Thane ,1237.27,1287.77,1548.1
Varanasi ,Pimpri Chinchwad ,1205.79,1255.03,1508.75
Varanasi ,Bhopal ,613.73,639.3,768.68
Varanasi ,Patna ,214.92,224.53,270.16
Varanasi ,Visakhapatnam,843.45,878.19,1055.82
Varanasi ,Ludhiana ,937.13,975.63,1172.92
Varanasi ,Vadodara ,1054.68,1097.88,1319.86
Varanasi ,Agra ,539.22,561.8,675.53
Varanasi ,Nashik ,1115.2,1160.82,1395.51
Varanasi ,Faridabad ,660.16,687.58,826.72
Varanasi ,Meerut ,662.57,690.08,829.72
Varanasi ,Rajkot ,1287.48,1339.99,1610.85
Varanasi ,Vasai Virar City ,1236.09,1286.55,1546.62
Varanasi ,Srinagar ,1250.38,1301.4,1564.48
Varanasi ,Dhanbad ,386.47,402.94,484.6
Srinagar ,Mumbai ,1672.71,1740.62,2092.39
Srinagar ,Delhi ,644.02,670.79,806.54
Srinagar ,Bengaluru,2353.56,2448.71,2943.46
Srinagar ,Hyderabad ,1887.26,1963.76,2360.58
Srinagar ,Ahmadabad ,1244.38,1295.16,1556.98
Srinagar ,Surat ,6042.15,6284.84,7554.19
Srinagar ,Kolkata ,1837.39,1911.89,2298.24
Srinagar ,Chennai ,2389.46,2486.05,2988.33
Srinagar ,Jaipur ,799.44,832.43,1000.81
Srinagar ,Pune ,1725.93,1795.97,2158.91
Srinagar ,Kanpur ,995.88,1036.72,1246.35
Srinagar ,Lucknow ,993.69,1034.45,1243.62
Srinagar ,Nagpur ,1492.32,1553.03,1866.91
Srinagar ,Indore ,1262.54,1314.05,1579.68
Srinagar ,Thane ,1658.93,1726.3,2075.17
Srinagar ,Pimpri Chinchwad ,1714.46,1784.05,2144.58
Srinagar ,Bhopal ,1224.91,1274.92,1532.65
Srinagar ,Patna ,1366.64,1422.32,1709.81
Srinagar ,Visakhapatnam,1998.87,2079.83,2500.09
Srinagar ,Ludhiana ,366.58,382.26,459.74
Srinagar ,Vadodara ,1314.9,1368.5,1645.13
Srinagar ,Agra ,823.62,857.57,1031.03
Srinagar ,Nashik ,1561.66,1625.14,1953.58
Srinagar ,Faridabad ,672.02,699.91,841.53
Srinagar ,Meerut ,627.6,653.72,786.01
Srinagar ,Rajkot ,1362.31,1417.81,1704.4
Srinagar ,Vasai Virar City ,1635.71,1702.15,2046.15
Srinagar ,Varanasi ,1250.38,1301.4,1564.48
Srinagar ,Dhanbad ,1603.73,1668.88,2006.16
Dhanbad ,Mumbai ,1497.92,1558.84,1873.91
Dhanbad ,Delhi ,1068.48,1112.23,1337.11
Dhanbad ,Bengaluru,1517.6,1579.31,1898.51
Dhanbad ,Hyderabad ,1092.96,1137.69,1367.71
Dhanbad ,Ahmadabad ,1417.79,1475.51,1773.74
Dhanbad ,Surat ,7636.5,7942.95,9547.11
Dhanbad ,Kolkata ,239.78,250.39,301.24
Dhanbad ,Chennai ,1351.9,1406.99,1691.39
Dhanbad ,Jaipur ,1122.23,1168.13,1404.3
Dhanbad ,Pune ,1429.85,1488.06,1788.82
Dhanbad ,Kanpur ,683.06,711.4,855.34
Dhanbad ,Lucknow ,647.87,674.8,811.35
Dhanbad ,Nagpur ,810.91,844.36,1015.15
Dhanbad ,Indore ,1087.13,1131.62,1360.42
Dhanbad ,Thane ,1484.05,1544.43,1856.58
Dhanbad ,Pimpri Chinchwad ,1429.75,1487.95,1788.7
Dhanbad ,Bhopal ,923.8,961.76,1156.26
Dhanbad ,Patna ,240.58,251.21,302.23
Dhanbad ,Visakhapatnam,747.01,777.91,935.28
Dhanbad ,Ludhiana ,1311.46,1364.93,1640.83
Dhanbad ,Vadodara ,1366.18,1421.84,1709.24
Dhanbad ,Agra ,925.52,963.55,1158.41
Dhanbad ,Nashik ,1371.06,1426.92,1715.34
Dhanbad ,Faridabad ,1044.93,1087.74,1307.67
Dhanbad ,Meerut ,1042.47,1085.18,1304.6
Dhanbad ,Rajkot ,1609.29,1674.67,2013.12
Dhanbad ,Vasai Virar City ,1489.35,1549.94,1863.2
Dhanbad ,Varanasi ,386.47,402.94,484.6
Dhanbad ,Srinagar ,1603.73,1668.88,2006.16
